0,0,Le préservatif (féminin ou masculin),TRUE
1,0,La pilule,FALSE
2,0,Le stérilet.,FALSE
3,1,Sophie Marceau,FALSE
4,1,Sado Maso,TRUE
5,1,Sexe Masculin,FALSE
6,2,Clara Morgane,FALSE
7,2,Katsumi,FALSE
8,2,Anna Tommy,TRUE
9,3,Le goût pour les pubis épilés,TRUE
10,3,Avoir des relations sous l'emprise de l'alcool,FALSE
11,3,Utiliser des aliments à des fins sexuelles,FALSE
12,4,Les pieds,TRUE
13,4,Les seins,FALSE
14,4,Les fesses,FALSE
15,5,Olisbos,TRUE
16,5,Fozizi,FALSE
17,5,Plubesoindom,FALSE
18,6,Exobiophilie,FALSE
19,6,Onanisme,TRUE
20,6,Le célibat,FALSE
21,7,Le yohimbine,FALSE
22,7,La corne de rhinocéros blanc,TRUE
23,7,Le gingembre,FALSE
24,8,Selena Gomez,FALSE
25,8,Demi Lovato,FALSE
26,8,Lourdes Ciccone (la fille de Madonna),TRUE
27,9,Le safe sex,FALSE
28,9,Le fake sex,TRUE
29,9,Le air sex,TRUE
30,10,French Letter,TRUE
31,10,Chinese Letter,FALSE
32,10,Spanish Condom,FALSE
33,11,Un sexologue en plus tendance,FALSE
34,11,Je vous aide à vous muscler grâce au sexe,FALSE
35,11,Je viens vous apprendre à améliorer votre libido,TRUE
36,12,Une parure de drap avec des hommes et des femmes nus,FALSE
37,12,Une parure de drap avec le Kamasutra,FALSE
38,12,Une parure de lit avec des huiles essentielles aphrodisiaques,TRUE
39,13, Un homme qui exerce ses talents de cuisinier pour séduire,TRUE
40,13,Un homme qui a des érections grâce aux aliments,FALSE
41,13,Un homme qui se constipe après chaque rapport sexuel,FALSE
42,14,Un avion privé qui vous pouvez louer pour une vous faire plaisir...,TRUE
43,14,Un sextoy forme d'avion qui vibre comme au décollage,FALSE
44,14,Un avion pour faire des rencontres amoureuses,FALSE
45,15,Au réfrigérateur ,FALSE
46,15,Dans sa poche de jean,FALSE
47,15,Dans un endroit sec et frais,TRUE
48,15,Dans le tiroir de la commode,FALSE
49,16,6 mois,FALSE
50,16,3 ans ,TRUE
51,16,4 ans,FALSE
52,16,Il est à changer au bout de 4 partenaires,FALSE
53,17,3 mois,FALSE
54,17,2 ans,FALSE
55,17,5 ans ,TRUE
56,17,"1 semaine, c'est suffisant",FALSE
57,18,En matière Sensoprène,FALSE
58,18,En Latex ,FALSE
59,18,En Silicone ,FALSE
60,18,En Polyuréthane,TRUE
61,19,Le placer en haut du pénis et le dérouler jusqu'à la base du sexe ,TRUE
62,19,"L'enlever de l'emballage, le dérouler et le placer sur le sexe ",FALSE
63,19,"L'enlever de l'emballage, souffler dedans et le placer sur le sexe ",FALSE
64,20,VRAI,FALSE
65,20,FAUX,TRUE
66,21,VRAI,FALSE
67,21,FAUX,TRUE
68,22,VRAI,TRUE
69,22,FAUX,FALSE
70,23,VRAI,FALSE
71,23,FAUX,TRUE
72,24,VRAI,FALSE
73,24,FAUX,TRUE
74,25,VRAI,FALSE
75,25,FAUX,TRUE
76,26,VRAI,TRUE
77,26,FAUX,FALSE
78,27,VRAI,FALSE
79,27,FAUX,TRUE
80,28,VRAI,FALSE
81,28,FAUX,TRUE
82,29,OUI,TRUE
83,29,NON,FALSE
